column_name,value
crime_type,  abduction  
crime_type,  assault  
crime_type,  b&e  
crime_type,  battery  
crime_type,  burglary  
crime_type,  cybercrime  
crime_type,  d.u.i.  
crime_type,  dom. violence  
crime_type,  drug offence  
crime_type,  drug offense  
crime_type,  dui  
crime_type,  duii  
crime_type,  dv  
crime_type,  dwi  
crime_type,  fraud  
crime_type,  fraudulent activity  
crime_type,  graffiti  
crime_type,  hacking  
crime_type,  kidnaping  
crime_type,  larceny  
crime_type,  narcotics  
crime_type,  property damage  
crime_type,  robbery  
crime_type,  sex assault  
crime_type,  sexual assault  
crime_type,  sexual assualt  
crime_type,  stealing  
crime_type,  theft  
crime_type,  theft/larceny  
crime_type,  trespass  
crime_type,  trespassing  
crime_type,  vandalism  
crime_type,abduction
crime_type,armed  robbery
crime_type,armed robbery
crime_type,arsen
crime_type,arson
crime_type,assault
crime_type,assault  &  battery
crime_type,assault & battery
crime_type,asslt
crime_type,b&e
crime_type,battery
crime_type,breaking & entering
crime_type,burglary
crime_type,burglry
crime_type,cyber  crime
crime_type,cyber crime
crime_type,cybercrime
crime_type,d.u.i.
crime_type,deception
crime_type,dom. violence
crime_type,domestc violence
crime_type,domestic  violence
crime_type,domestic violence
crime_type,drug  offence
crime_type,drug  offense
crime_type,drug offence
crime_type,drug offense
crime_type,drugs
crime_type,drunk driving
crime_type,dui
crime_type,duii
crime_type,dv
crime_type,dwi
crime_type,fire setting
crime_type,fraud
crime_type,fraudulent activity
crime_type,graffiti
crime_type,hacking
crime_type,homicide
crime_type,homocide
crime_type,kidnaping
crime_type,kidnapping
crime_type,larceny
crime_type,manslaughter
crime_type,murder
crime_type,narcotics
crime_type,online fraud
crime_type,property  damage
crime_type,property damage
crime_type,robbery
crime_type,robbry
crime_type,roberry
crime_type,sa
crime_type,scam
crime_type,sex  assault
crime_type,sex assault
crime_type,sexual  assault
crime_type,sexual  assualt
crime_type,sexual assault
crime_type,sexual assualt
crime_type,stealing
crime_type,theft
crime_type,theft 
crime_type,theft  
crime_type,theft/larceny
crime_type,trespass
crime_type,trespassing
crime_type,tresspassing
crime_type,vandalism
crime_type,vandlism
district,   central  
district,   midtown  
